"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 11:59:43 GMT 2023","Wed Apr 12 11:59:43 GMT 2023","854","test","conduit_test","TestRegistration","","","Sign up with already registered user data",""
"passed","Wed Apr 12 11:59:55 GMT 2023","Wed Apr 12 11:59:56 GMT 2023","1384","test","conduit_test","TestSignIn","","","Sign in and sign out with valid user data",""
"passed","Wed Apr 12 11:59:49 GMT 2023","Wed Apr 12 11:59:54 GMT 2023","4269","test","conduit_test","TestSignIn","","","Sign in with invalid user data",""
"passed","Wed Apr 12 12:00:20 GMT 2023","Wed Apr 12 12:00:24 GMT 2023","3689","test","conduit_test","TestLoggedInUserPage","","","Modifying article",""
"passed","Wed Apr 12 11:59:45 GMT 2023","Wed Apr 12 11:59:48 GMT 2023","3264","test","conduit_test","TestRegistration","","","Sign up with invalid user data",""
"passed","Wed Apr 12 12:00:04 GMT 2023","Wed Apr 12 12:00:04 GMT 2023","154","test","conduit_test","TestLoggedInMainPage","","","Listing all article titles","List of articles: 
Lorem ipsum dolor sit amet
In nisl nisi scelerisque eu
Urna nunc id cursus metus.
Egestas egestas
Laoreet suspendisse interdum
Nibh praesent tristique magna
Eget mi proin sed libero
Nunc lobortis mattis aliquam
Cras sed felis eget velit
Elementum facilisis leo vel fringilla
Mi eget mauris pharetra et
"
"passed","Wed Apr 12 12:00:29 GMT 2023","Wed Apr 12 12:00:41 GMT 2023","12528","test","conduit_test","TestLoggedInUserPage","","","Deleting all created articles",""
"passed","Wed Apr 12 12:00:01 GMT 2023","Wed Apr 12 12:00:01 GMT 2023","186","test","conduit_test","TestLoggedInMainPage","","","Checking page list traversal",""
"passed","Wed Apr 12 12:00:09 GMT 2023","Wed Apr 12 12:00:15 GMT 2023","6808","test","conduit_test","TestLoggedInUserPage","","","Creating articles from csv file","Created articles:
Testarticle title1 ,Testarticle title2 ,Testarticle title3"
"passed","Wed Apr 12 11:59:41 GMT 2023","Wed Apr 12 11:59:41 GMT 2023","100","test","conduit_test","TestRegistration","","","Checking sign up data stored in database",""
"passed","Wed Apr 12 11:59:58 GMT 2023","Wed Apr 12 11:59:58 GMT 2023","582","test","conduit_test","TestPrivacyPolicy","","","Checking Privacy Policy","After clicking on 'Accept' button cookie panel disappears."
"passed","Wed Apr 12 11:59:37 GMT 2023","Wed Apr 12 11:59:40 GMT 2023","2621","test","conduit_test","TestRegistration","","","Sign up with valid user data","Registered user:
Username: TesztElek
E-mail: test@elek.hu
Password: HJkksdfjdvb4"
